Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance

Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,8948,m-1,8948
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,9417279,m0,9417279
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1503994,m1,1503994
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,9900966,m2,9900966
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1344051,m3,1344051
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,248712,m4,248712
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,26611,m5,26611
Glc_BEAS2B_0h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,5829,m6,5829

Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,4509,m-1,4509
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,3742998,m0,3742998
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,600723,m1,600723
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,3940273,m2,3940273
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,531569,m3,531569
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,102650,m4,102650
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,10907,m5,10907
Glc_BEAS2B_0h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,2618,m6,2618

Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,4210,m-1,4210
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,3616622,m0,3616622
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,580933,m1,580933
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,3813755,m2,3813755
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,518709,m3,518709
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,95635,m4,95635
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,10363,m5,10363
Glc_BEAS2B_0h_GlucosaC1C2_1_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,2731,m6,2731

Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,14526,m-1,14526
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,18920247,m0,18920247
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,2959640,m1,2959640
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,19690130,m2,19690130
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,2635918,m3,2635918
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,492209,m4,492209
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,50399,m5,50399
Glc_BEAS2B_0h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,10845,m6,10845

Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,14130,m-1,14130
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,19013257,m0,19013257
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,2990873,m1,2990873
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,19856082,m2,19856082
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,2647848,m3,2647848
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,495722,m4,495722
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,51590,m5,51590
Glc_BEAS2B_0h_GlucosaC1C2_2_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,11382,m6,11382

Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,13442,m-1,13442
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,18755575,m0,18755575
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,2925097,m1,2925097
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,19571054,m2,19571054
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,2599491,m3,2599491
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,483945,m4,483945
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,51589,m5,51589
Glc_BEAS2B_0h_GlucosaC1C2_3_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,11777,m6,11777

Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,8143,m-1,8143
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,9480885,m0,9480885
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1508673,m1,1508673
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,9984016,m2,9984016
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1342256,m3,1342256
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,248330,m4,248330
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,25619,m5,25619
Glc_BEAS2B_0h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,5481,m6,5481

Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,8015,m-1,8015
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,10107822,m0,10107822
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1594345,m1,1594345
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,10631050,m2,10631050
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1432280,m3,1432280
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,265703,m4,265703
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,29089,m5,29089
Glc_BEAS2B_0h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,6483,m6,6483

Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,18088,m-1,18088
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,24151854,m0,24151854
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,3796606,m1,3796606
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,680662,m2,680662
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,79222,m3,79222
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,14971,m4,14971
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,2399,m5,2399
Glc_BEAS2B_24h_COLD_03,Glc,,,,COLD,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,549,m6,549

Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,9772,m-1,9772
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,10330088,m0,10330088
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1635165,m1,1635165
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,10879966,m2,10879966
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1456013,m3,1456013
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,271948,m4,271948
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,28460,m5,28460
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,6548,m6,6548

Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,8116,m-1,8116
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,8854341,m0,8854341
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1401653,m1,1401653
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,9298829,m2,9298829
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1249335,m3,1249335
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,235151,m4,235151
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,25509,m5,25509
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,5108,m6,5108

Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,4583,m-1,4583
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,4281797,m0,4281797
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,690988,m1,690988
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,4520152,m2,4520152
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,615560,m3,615560
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,115365,m4,115365
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,12269,m5,12269
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,2565,m6,2565

Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,7143,m-1,7143
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,7512366,m0,7512366
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1194685,m1,1194685
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,7915625,m2,7915625
