Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glu_BEAS2B_24h_GlucosaC1C2_2_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,203,6824,m5,6824

Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,118180,m-1,118180
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,14853054,m0,14853054
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,2318047,m1,2318047
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,268050,m2,268050
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,52351,m3,52351
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,65381,m4,65381
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,197,115765,m-1,115765
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,198,17234120,m0,17234120
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,199,1277136,m1,1277136
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,200,240224,m2,240224
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,201,19407,m3,19407
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,202,29166,m4,29166
Glu_BEAS2B_24h_GlucosaC1C2_3_01,Glu,,,,GlucosaC1C2,01,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,203,7279,m5,7279

Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,140977,m-1,140977
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,17799213,m0,17799213
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,2754511,m1,2754511
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,330306,m2,330306
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,62831,m3,62831
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,77117,m4,77117
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,197,142811,m-1,142811
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,198,20772399,m0,20772399
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,199,1539376,m1,1539376
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,200,286364,m2,286364
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,201,23221,m3,23221
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,202,35385,m4,35385
Glu_BEAS2B_24h_GlucosaC1C2_3_02,Glu,,,,GlucosaC1C2,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,203,7793,m5,7793

Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,28342,m-1,28342
Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,388111,m0,388111
Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,10860486,m1,10860486
Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,1073422,m2,1073422
Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,152573,m3,152573
Glu_BEAS2B_24h_GlutaminaC1_1_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,21612,m4,21612

Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,36188,m-1,36188
Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,511502,m0,511502
Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,15151022,m1,15151022
Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,1477296,m2,1477296
Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,195589,m3,195589
Glu_BEAS2B_24h_GlutaminaC1_1_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,28400,m4,28400


Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,30955,m-1,30955
Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,429077,m0,429077
Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,12552878,m1,12552878
Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,1212063,m2,1212063
Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,165546,m3,165546
Glu_BEAS2B_24h_GlutaminaC1_2_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,22697,m4,22697

Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,32019,m-1,32019
Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,440226,m0,440226
Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,13553167,m1,13553167
Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,1321788,m2,1321788
Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,177373,m3,177373
Glu_BEAS2B_24h_GlutaminaC1_3_01,Glu,,,,GlutaminaC1,01,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,25380,m4,25380

Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,37517,m-1,37517
Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,515075,m0,515075
Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,15169458,m1,15169458
Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,1464421,m2,1464421
Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,198714,m3,198714
Glu_BEAS2B_24h_GlutaminaC1_3_02,Glu,,,,GlutaminaC1,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,27759,m4,27759

Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,254949,m-1,254949
Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,9899905,m0,9899905
Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,1130327,m1,1130327
Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,120749,m2,120749
Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,8964,m3,8964
Lac_BEAS2B_24h_COLD_02,Lac,,,,COLD,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,779,m4,779

Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,373874,m-1,373874
Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,14473882,m0,14473882
Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,2203495,m1,2203495
Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,4411537,m2,4411537
Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,437389,m3,437389
Lac_BEAS2B_24h_GlucosaC1C2_1_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,45533,m4,45533

Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,463419,m-1,463419
Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,17965212,m0,17965212
Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,2731914,m1,2731914
Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,5450907,m2,5450907
Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,547618,m3,547618
Lac_BEAS2B_24h_GlucosaC1C2_1_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,57283,m4,57283

Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,408072,m-1,408072
Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,15831763,m0,15831763
Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,2416935,m1,2416935
Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,4827934,m2,4827934
Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,482763,m3,482763
Lac_BEAS2B_24h_GlucosaC1C2_2_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,49812,m4,49812

Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,497395,m-1,497395
Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,19348281,m0,19348281
Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,2938725,m1,2938725
Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,5874237,m2,5874237
Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,584085,m3,584085
Lac_BEAS2B_24h_GlucosaC1C2_2_03,Lac,,,,GlucosaC1C2,03,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,60731,m4,60731

Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,571498,m-1,571498
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,22221585,m0,22221585
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,3387044,m1,3387044
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,6743252,m2,6743252
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,675094,m3,675094
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,70091,m4,70091

Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,630225,m-1,630225
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,24576478,m0,24576478
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,3743259,m1,3743259
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,7451120,m2,7451120
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,740649,m3,740649
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,78003,m4,78003
